Rating,Name,Symbol,Rating Agency Name,Date,Sector,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,netProfitMargin,pretaxProfitMargin,grossProfitMargin,operatingProfitMargin,returnOnAssets,returnOnCapitalEmployed,returnOnEquity,assetTurnover,fixedAssetTurnover,debtEquityRatio,debtRatio,effectiveTaxRate,freeCashFlowOperatingCashFlowRatio,freeCashFlowPerShare,cashPerShare,companyEquityMultiplier,ebitPerRevenue,enterpriseValueMultiple,operatingCashFlowPerShare,operatingCashFlowSalesRatio,payablesTurnover,PredictedRatingGroup,ConfidenceScore,Probability_Distressed,Probability_Investment-High,Probability_Investment-Low,Probability_Speculative
A,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,11/27/2015,Consumer Durables,0.945893595,0.426394628,0.099690083,44.20324542,0.037480255,0.049351395,0.176631085,0.061509741,0.041188848,0.091514291,0.165085389,1.098947922,5.535506094,3.008011807,0.750499737,0.20271581,0.43755102,6.810673443,9.809402795,4.008011807,0.049351395,7.05708807,15.56543837,0.058637691,3.906654554,Investment-High,0.9445033073425293,0.00011931579501833767,0.9445033073425293,0.05415336787700653,0.0012239734642207623
BBB,Whirlpool Corporation,WHR,Egan-Jones Ratings Company,2/13/2014,Consumer Durables,1.033559023,0.498233736,0.2031204,38.99115563,0.044062017,0.048857158,0.175715275,0.0665459,0.053203809,0.1048,0.167952884,1.207475553,6.1719829,2.156783103,0.683221822,0.074154853,0.54199683,8.625472888,17.40226986,3.156783103,0.048857158,6.460618222,15.91424968,0.067238532,4.002846054,Investment-Low,0.982353687286377,5.8370056649437174e-05,0.00801139697432518,0.982353687286377,0.009576487354934216
BBB,Whirlpool Corporation,WHR,Fitch Ratings,3/6/2015,Consumer Durables,0.963703439,0.451505415,0.12209925,50.84138486,0.03270934,0.044333736,0.170843398,0.059782609,0.03249675,0.075954824,0.133060389,0.99350065,4.991710625,3.09457523,0.755774423,0.214528944,0.513184584,9.69348659,13.10344828,4.09457523,0.044333736,10.49197025,18.88888889,0.074426329,3.483509514,Investment-Low,0.9964489936828613,4.603423803928308e-05,0.002370396861806512,0.9964489936828613,0.001134557300247252
BBB,Whirlpool Corporation,WHR,Fitch Ratings,6/15/2012,Consumer Durables,1.019850723,0.510401779,0.176115611,41.16173792,0.020893603,-0.012857602,0.138058502,0.042430087,0.025690007,-0.027014858,0.09327912,1.22956327,6.017408124,2.630949534,0.724589948,1.816666667,-0.147169811,-1.015625,14.44010417,3.630949534,-0.012857602,4.080740741,6.901041667,0.028393871,4.581150342,Investment-Low,0.9947648048400879,0.000173350446857512,0.00030176484142430127,0.9947648048400879,0.004760012496262789
BBB,Whirlpool Corporation,WHR,Standard & Poor's Ratings Services,10/24/2016,Consumer Durables,0.957843905,0.495432002,0.141607935,47.76112559,0.04286128,0.053769669,0.177719857,0.065353799,0.046363494,0.096945436,0.186046512,1.081710437,5.437795276,3.012780222,0.75079622,0.166965889,0.451371571,7.135348226,14.25755585,4.012780222,0.053769669,8.293504729,15.80814717,0.05806545,3.857789855,Investment-Low,0.9725403785705566,0.0001382638147333637,0.02651655487716198,0.9725403785705566,0.0008048276067711413
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,7/18/2014,Energy,1.741958239,1.317155756,0.220795711,83.93196789,0.11193907,0.15724578,0.230177028,0.15724578,0.081280641,0.144875588,0.143672391,0.72611503,3.15536503,0.767608983,0.43426402,0.252389056,0.644841447,5.574517375,5.792277992,1.767608983,0.15724578,9.83329498,8.644787645,0.230444627,4.044776119,Investment-High,0.8276726603507996,0.00014863224350847304,0.8276726603507996,0.15445515513420105,0.0177235696464777
AA,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,5/13/2014,Energy,1.939001848,1.468909427,0.256709797,92.70545222,0.148720894,0.151173066,0.219480405,0.148720894,0.100327869,0.127727485,0.17056424,0.674605067,2.99854266,0.700068408,0.411788376,0.270056993,0.597159787,4.417989418,6.326530612,1.700068408,0.151173066,12.14037603,7.398337113,0.216232934,3.99807627,Investment-High,0.9851362109184265,2.2754382371203974e-05,0.9851362109184265,0.00700454693287611,0.007836510427296162
A,Schlumberger N.V.,SLB,Egan-Jones Ratings Company,7/23/2015,Energy,1.905814036,1.544791445,0.197790525,90.33685694,0.058407329,0.081212121,0.201663143,0.081212121,0.030468348,0.053466706,0.058148346,0.52165282,2.644427879,0.908483709,0.476023822,0.258937869,0.72629188,5.047355959,10.28729282,1.908483709,0.081212121,15.26456244,6.949486977,0.24820296,3.665199948,Investment-High,0.972598671913147,4.577532672556117e-05,0.972598671913147,0.018431005999445915,0.008924564346671104
AA,Honeywell International Inc.,HON,Egan-Jones Ratings Company,4/29/2014,Capital Goods,1.492419434,1.129821592,0.45285946,74.10280374,0.100473691,0.138573806,0.273742158,0.138573806,0.086365137,0.173161835,0.224652201,0.859579619,7.399583175,1.601190817,0.615560691,0.267923134,0.781545559,4.308240081,10.29120041,2.601190817,0.138573806,10.89799844,5.512461851,0.110997311,5.482025512,Investment-High,0.9886782765388489,5.873496320418781e-06,0.9886782765388489,0.011072348803281784,0.0002434715861454606
A,Honeywell International Inc.,HON,Moody's Investors Service,2/16/2016,Capital Goods,1.091557346,0.850960753,0.296935387,76.39446878,0.123584148,0.170705788,0.306731293,0.170705788,0.096682618,0.212829213,0.260788711,0.782322167,6.664536189,1.697369141,0.629268392,0.264044944,0.80326366,5.618107207,9.692228777,2.697369141,0.170705788,10.36290293,6.994101052,0.141364921,4.793369176,Investment-High,0.9903760552406311,1.256791983905714e-05,0.9903760552406311,0.008341269567608833,0.0012701425002887845
